School DBN,School Name,School District,Total Applicants,True Applicants,Ratio,Rank
29Q243,Institute for Health Professions at Cambria Heights,29,416.0,79.0,15.002403846153847,270
05M670,Thurgood Marshall Academy for Learning and Social Change,5,340.0,71.0,14.826470588235294,271
18K633,High School for Medical Professions,18,666.0,99.0,14.716216216216216,272
30Q417,Gotham Tech High School,30,631.0,96.0,14.605388272583202,273
21K348,High School of Sports Management,21,386.0,75.0,14.572538860103627,274
29Q272,George Washington Carver High School for the Sciences,29,590.0,92.0,14.345762711864406,275
08X558,Westchester Square Academy,8,788.0,106.0,14.258883248730964,276
15K448,Brooklyn Collaborative Studies,15,693.0,99.0,14.142857142857142,277
06M467,High School for Law and Public Service,6,643.0,95.0,14.035769828926906,278
17K408,Academy of Hospitality and Tourism,17,571.0,89.0,13.87215411558669,279
32K168,The Brooklyn School for Math and Research,32,710.0,99.0,13.804225352112676,280
17K537,High School for Youth and Community Development at Erasmus,17,488.0,82.0,13.778688524590164,281
12X682,Fannie Lou Hamer Freedom High School,12,388.0,73.0,13.734536082474227,282
07X625,Bronx Legacy High School,7,690.0,97.0,13.63623188405797,283
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",13,909.0,111.0,13.554455445544555,284
02M280,Manhattan Early College School for Advertising,2,572.0,88.0,13.538461538461538,285
02M427,Manhattan Academy For Arts & Language,2,389.0,72.0,13.326478149100257,286
08X367,"Archimedes Academy for Math, Science and Technology Applications",8,427.0,75.0,13.173302107728338,287
14K474,PROGRESS High School for Professional Careers,14,506.0,81.0,12.966403162055336,288
11X514,The Bronxwood Preparatory Academy,11,668.0,93.0,12.947604790419161,289
28Q325,Hillside Arts & Letters Academy,28,520.0,82.0,12.930769230769231,290
19K683,School for Classics High School,19,229.0,54.0,12.733624454148472,291
19K659,Cypress Hills Collegiate Preparatory School,19,581.0,86.0,12.729776247848537,292
10X549,Discovery High School,10,716.0,95.0,12.604748603351956,293
29Q283,Preparatory Academy for Writers: A College Board School,29,177.0,47.0,12.480225988700566,294
14K477,East Williamsburg Scholars Academy,14,650.0,90.0,12.461538461538462,295
13K439,Brooklyn International High School,13,409.0,71.0,12.32518337408313,296
13K527,Urban Assembly Institute of Math and Science for Young Women,13,237.0,54.0,12.30379746835443,297
02M529,Jacqueline Kennedy Onassis High School,2,534.0,81.0,12.286516853932584,298
10X225,Theatre Arts Production Company School,10,633.0,88.0,12.233807266982623,299
18K576,Victory Collegiate High School,18,305.0,61.0,12.2,300
13K963,Design Works High School,13,607.0,86.0,12.184514003294893,301
02M655,The High School for Climate Justice,2,298.0,60.0,12.080536912751677,302
32K545,EBC High School for Public Service - Bushwick,32,467.0,75.0,12.044967880085654,303
19K764,The Urban Assembly School for Collaborative Healthcare,19,419.0,71.0,12.031026252983294,304
