school,mean_rank,rank_variance,num_languages,min_rank,max_rank,School DBN,School Name
03M417,127.42857142857143,747.9523809523808,7,77.0,159.0,03M417,Frank McCourt High School
20K485,28.142857142857142,689.1428571428572,7,3.0,76.0,20K485,High School of Telecommunication Arts and Technology
19K660,145.28571428571428,644.2380952380953,7,104.0,186.0,19K660,W. H. Maxwell Career and Technical Education High School
24Q585,32.714285714285715,628.2380952380953,7,3.0,85.0,24Q585,Maspeth High School
26Q495,22.0,508.6666666666667,7,4.0,65.0,26Q495,Bayside High School
01M539,24.714285714285715,393.9047619047619,7,6.0,57.0,01M539,"New Explorations into Science, Technology and Math High School"
22K425,27.714285714285715,350.23809523809524,7,8.0,65.0,22K425,James Madison High School
26Q430,13.857142857142858,329.1428571428571,7,2.0,53.0,26Q430,Francis Lewis High School
27Q650,32.142857142857146,299.8095238095238,7,14.0,63.0,27Q650,"High School for Construction Trades, Engineering and Architecture"
21K410,62.857142857142854,241.14285714285714,7,48.0,91.0,21K410,Abraham Lincoln High School
04M435,23.0,201.0,7,9.0,45.0,04M435,Manhattan Center for Science and Mathematics
04M555,35.0,185.0,7,19.0,57.0,04M555,Central Park East High School
02M418,22.0,180.0,7,9.0,44.0,02M418,Millennium High School
28Q620,21.428571428571427,165.2857142857143,7,3.0,40.0,28Q620,Thomas A. Edison Career and Technical Education High School
05M362,24.571428571428573,120.28571428571429,7,4.0,34.0,05M362,Columbia Secondary School
15K684,16.714285714285715,115.90476190476188,7,4.0,36.0,15K684,Millennium Brooklyn HS
01M696,16.571428571428573,74.95238095238095,7,4.0,24.0,01M696,Bard High School Early College
03M479,7.714285714285714,65.57142857142856,7,1.0,21.0,03M479,Beacon High School
24Q299,10.571428571428571,39.952380952380956,7,2.0,20.0,24Q299,Bard High School Early College Queens
02M411,16.857142857142858,33.47619047619048,7,8.0,26.0,02M411,Baruch College Campus High School
22K405,6.142857142857143,23.476190476190478,7,2.0,14.0,22K405,Midwood High School
02M416,7.571428571428571,17.95238095238095,7,2.0,14.0,02M416,Eleanor Roosevelt High School
03M541,9.285714285714286,16.238095238095237,7,5.0,15.0,03M541,Manhattan / Hunter Science High School
25Q525,2.5714285714285716,3.952380952380952,7,1.0,5.0,25Q525,Townsend Harris High School
