School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
19K618,Academy of Innovative Technology,19,1,2,1,1048,183,115,169,0.5,61
20K445,New Utrecht High School,20,1,2,1,4568,1443,630,730,0.5,61
20K485,High School of Telecommunication Arts and Technology,20,1,2,1,2973,1210,310,363,0.5,61
21K559,Life Academy High School for Film and Music,21,1,2,1,145,21,81,49,0.5,61
21K572,Leaders High School,21,1,2,1,462,119,110,141,0.5,61
23K644,Eagle Academy for Young Men II,23,1,2,1,554,179,92,139,0.5,61
24Q267,High School of Applied Communication,24,1,2,1,557,75,145,-2,0.5,61
24Q293,Civic Leadership Academy,24,1,2,1,1157,291,142,191,0.5,61
24Q520,Middle College High School at LaGuardia Community College,24,1,2,1,1826,552,97,118,0.5,61
24Q550,High School for Arts and Business,24,1,2,1,2257,552,191,255,0.5,61
27Q323,Scholars' Academy,27,1,2,1,1065,580,154,186,0.5,61
27Q650,"High School for Construction Trades, Engineering and Architecture",27,1,2,1,3028,1209,247,311,0.5,61
29Q492,"Mathematics, Science Research and Technology Magnet High School",29,1,2,1,782,146,150,-2,0.5,61
30Q286,"Young Women's Leadership School, Astoria",30,1,2,1,453,156,81,103,0.5,61
30Q445,William Cullen Bryant High School,30,1,2,1,1681,297,435,349,0.5,61
31R450,Curtis High School,31,1,2,1,1967,690,804,754,0.5,61
32K168,The Brooklyn School for Math and Research,32,1,2,1,710,99,108,148,0.5,61
01M450,East Side Community School,1,1,171,81,1142,328,95,117,38.36842105263158,3
03M479,Beacon High School,3,1,115,54,7891,4442,360,493,25.356521739130436,6
02M545,High School for Dual Language and Asian Studies,2,1,54,24,769,299,108,150,10.666666666666666,11
04M555,Central Park East High School,4,1,36,16,4762,1538,125,215,7.111111111111111,17
14K610,A-Tech High School,14,1,9,4,1273,264,224,243,1.7777777777777777,43
02M551,Urban Assembly New York Harbor School,2,1,16,7,724,221,200,-2,3.0625,28
02M519,Talent Unlimited High School,2,1,23,10,1599,468,152,213,4.3478260869565215,24
03M541,Manhattan / Hunter Science High School,3,1,81,35,5406,2689,108,176,15.123456790123457,8
30Q580,Baccalaureate School for Global Education,30,1,7,3,1732,937,97,94,1.2857142857142858,51
02M418,Millennium High School,2,1,155,66,5541,2290,176,286,28.10322580645161,5
02M600,The High School of Fashion Industries,2,1,38,16,2046,720,475,395,6.7368421052631575,19
02M413,School of the Future High School,2,1,57,21,1741,485,108,152,7.7368421052631575,14
02M408,Professional Performing Arts High School,2,1,12,4,1255,378,128,180,1.3333333333333333,47
02M630,Art and Design High School,2,1,54,18,3594,1359,385,523,6.0,20
03M415,Wadleigh Secondary School for the Performing & Visual Arts,3,1,3,1,826,130,128,-2,0.3333333333333333,114
05M148,Eagle Academy for Young Men of Harlem,5,1,3,1,257,46,120,88,0.3333333333333333,114
05M157,The Urban Assembly School for Global Commerce,5,1,3,1,207,26,81,-2,0.3333333333333333,114
05M362,Columbia Secondary School,5,1,36,12,4258,1769,112,175,4.0,25
05M369,Urban Assembly School for the Performing Arts,5,1,3,1,372,52,108,-2,0.3333333333333333,114
06M293,City College Academy of the Arts,6,1,3,1,1028,337,81,95,0.3333333333333333,114
06M463,High School for Media and Communications,6,1,3,1,505,61,150,-2,0.3333333333333333,114
06M467,High School for Law and Public Service,6,1,3,1,643,95,167,84,0.3333333333333333,114
07X527,Bronx Leadership Academy II High School,7,1,3,1,911,103,131,-2,0.3333333333333333,114
13K265,Dr. Susan S. McKinney Secondary School of the Arts,13,1,3,1,362,54,82,-2,0.3333333333333333,114
13K412,Brooklyn Community Arts & Media High School (BCAM),13,1,3,1,702,113,142,-2,0.3333333333333333,114
13K439,Brooklyn International High School,13,1,3,1,409,71,81,53,0.3333333333333333,114
15K462,John Jay School for Law,15,1,3,1,1012,184,125,-2,0.3333333333333333,114
15K684,Millennium Brooklyn HS,15,1,18,6,5385,2365,178,252,2.0,38
17K528,The High School for Global Citizenship,17,1,3,1,524,55,100,63,0.3333333333333333,114
17K548,Brooklyn School for Music & Theatre,17,1,3,1,522,74,108,-2,0.3333333333333333,114
17K600,Clara Barton High School,17,1,3,1,1276,355,434,-2,0.3333333333333333,114
21K337,International High School at Lafayette,21,1,3,1,327,76,90,35,0.3333333333333333,114
21K540,John Dewey High School,21,1,3,1,2573,622,553,577,0.3333333333333333,114
24Q485,Grover Cleveland High School,24,1,3,1,1552,359,420,437,0.3333333333333333,114
24Q585,Maspeth High School,24,1,3,1,5045,1953,270,348,0.3333333333333333,114
