School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
09X241,"Urban Assembly School for Applied Math and Science, The",9,ENGLISH,312,69.0,561.0,117.0,90.0,99.0,15.259615384615385,198
10X264,Bronx Academy for Software Engineering (BASE),10,ENGLISH,740,106.0,1199.0,175.0,120.0,165.0,15.183783783783785,199
23K493,Brooklyn Collegiate: A College Board School,23,ENGLISH,620,97.0,727.0,113.0,120.0,6.0,15.175806451612903,200
12X267,Bronx Latin,12,ENGLISH,454,83.0,841.0,149.0,81.0,113.0,15.174008810572687,201
03M415,Wadleigh Secondary School for the Performing & Visual Arts,3,ENGLISH,623,97.0,826.0,130.0,128.0,6.0,15.102728731942214,202
19K639,Brooklyn Lab School,19,ENGLISH,595,94.0,980.0,152.0,102.0,143.0,14.850420168067227,203
02M449,Vanguard High School,2,ENGLISH,425,79.0,701.0,134.0,110.0,158.0,14.684705882352942,204
29Q326,Cambria Heights Academy,29,ENGLISH,437,80.0,581.0,113.0,81.0,103.0,14.645308924485127,205
17K382,Academy for College Preparation and Career Exploration: A College Board School,17,ENGLISH,579,92.0,837.0,124.0,108.0,6.0,14.618307426597582,206
13K483,The Urban Assembly School for Law and Justice,13,ENGLISH,428,79.0,593.0,105.0,115.0,6.0,14.58177570093458,207
02M303,"Facing History School, The",2,ENGLISH,275,63.0,421.0,87.0,107.0,6.0,14.432727272727274,208
09X568,Young Women's Leadership School of the Bronx,9,ENGLISH,285,64.0,449.0,109.0,90.0,127.0,14.371929824561404,209
08X376,Antonia Pantoja Preparatory Academy: A College Board School,8,ENGLISH,181,51.0,308.0,82.0,84.0,104.0,14.370165745856353,210
06M348,Washington Heights Expeditionary Learning School,6,ENGLISH,259,61.0,689.0,175.0,100.0,115.0,14.366795366795367,211
04M372,Esperanza Preparatory Academy,4,ENGLISH,106,39.0,322.0,114.0,106.0,120.0,14.349056603773585,212
08X530,Longwood Preparatory Academy,8,ENGLISH,438,79.0,649.0,115.0,120.0,143.0,14.248858447488585,213
02M580,Richard R. Green High School of Teaching,2,ENGLISH,1097,124.0,1291.0,154.0,160.0,6.0,14.01640838650866,214
30Q502,Information Technology High School,30,ENGLISH,314,66.0,944.0,190.0,227.0,6.0,13.872611464968152,215
15K429,Digital Arts and Cinema Technology High School,15,ENGLISH,411,75.0,579.0,105.0,90.0,94.0,13.686131386861314,216
27Q309,Academy of Medical Technology: A College Board School,27,ENGLISH,413,75.0,626.0,120.0,105.0,109.0,13.619854721549636,217
29Q243,Institute for Health Professions at Cambria Heights,29,ENGLISH,311,65.0,416.0,79.0,108.0,132.0,13.585209003215434,218
12X271,East Bronx Academy for the Future,12,ENGLISH,275,61.0,464.0,97.0,90.0,79.0,13.530909090909091,219
09X413,Bronx High School for Medical Science,9,ENGLISH,569,87.0,1104.0,178.0,90.0,170.0,13.302284710017574,220
14K454,The Williamsburg High School of Art and Technology,14,ENGLISH,587,88.0,893.0,129.0,116.0,120.0,13.192504258943782,221
17K745,Brooklyn Institute for Liberal Arts,17,ENGLISH,613,89.0,761.0,109.0,175.0,158.0,12.921696574225122,222
32K552,The Academy of Urban Planning and Engineering,32,ENGLISH,368,68.0,737.0,128.0,113.0,6.0,12.565217391304348,223
01M292,Orchard Collegiate Academy,1,ENGLISH,164,45.0,280.0,71.0,90.0,6.0,12.347560975609756,224
08X558,Westchester Square Academy,8,ENGLISH,545,81.0,788.0,106.0,135.0,114.0,12.038532110091744,225
24Q455,Newtown High School,24,ENGLISH,469,75.0,1328.0,243.0,419.0,346.0,11.99360341151386,226
05M670,Thurgood Marshall Academy for Learning and Social Change,5,ENGLISH,272,57.0,340.0,71.0,108.0,6.0,11.944852941176471,227
02M615,Chelsea Career and Technical Education High School,2,ENGLISH,540,80.0,821.0,118.0,152.0,6.0,11.851851851851851,228
18K633,High School for Medical Professions,18,ENGLISH,475,75.0,666.0,99.0,108.0,116.0,11.842105263157896,229
09X227,Bronx Collegiate Academy,9,ENGLISH,630,86.0,1201.0,163.0,120.0,173.0,11.739682539682539,230
03M494,High School of Arts and Technology,3,ENGLISH,700,90.0,1037.0,132.0,140.0,6.0,11.571428571428571,231
11X275,High School of Computers and Technology,11,ENGLISH,472,72.0,715.0,115.0,181.0,156.0,10.983050847457626,232
29Q313,Benjamin Franklin High School for Finance & Information Technology,29,ENGLISH,509,73.0,735.0,122.0,108.0,6.0,10.469548133595286,233
07X522,Bronx Design and Construction Academy,7,ENGLISH,438,67.0,677.0,112.0,140.0,91.0,10.248858447488585,234
17K537,High School for Youth and Community Development at Erasmus,17,ENGLISH,376,62.0,488.0,82.0,140.0,6.0,10.22340425531915,235
21K572,Leaders High School,21,ENGLISH,213,46.0,462.0,119.0,110.0,141.0,9.934272300469484,236
10X228,Jonas Bronck Academy,10,ENGLISH,195,44.0,372.0,91.0,90.0,6.0,9.928205128205128,237
29Q272,George Washington Carver High School for the Sciences,29,ENGLISH,442,66.0,590.0,92.0,93.0,6.0,9.855203619909503,238
13K527,Urban Assembly Institute of Math and Science for Young Women,13,ENGLISH,180,42.0,237.0,54.0,81.0,60.0,9.8,239
10X243,West Bronx Academy for the Future,10,ENGLISH,474,68.0,917.0,136.0,90.0,109.0,9.755274261603375,240
11X545,Bronx Aerospace High School,11,ENGLISH,503,70.0,751.0,109.0,189.0,6.0,9.74155069582505,241
23K514,Frederick Douglass Academy VII High School,23,ENGLISH,434,65.0,532.0,76.0,108.0,85.0,9.735023041474655,242
02M374,Gramercy Arts High School,2,ENGLISH,778,87.0,1038.0,129.0,204.0,78.0,9.728791773778921,243
