School DBN,School Name,School District,Home Borough,Total Applicants Borough,True Applicants Borough,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M407,Institute for Collaborative Education,2,Manhattan,375,81.0,836,263.0,61,73,0.216,341
02M407,Institute for Collaborative Education,2,Queens,63,37.0,836,263.0,61,73,0.5873015873015873,230
02M407,Institute for Collaborative Education,2,Staten Island,5,5.0,836,263.0,61,73,1.0,1
02M407,Institute for Collaborative Education,2,Unknown,21,8.0,836,263.0,61,73,0.38095238095238093,94
02M408,Professional Performing Arts High School,2,Bronx,199,37.0,1255,378.0,128,180,0.18592964824120603,298
02M408,Professional Performing Arts High School,2,Brooklyn,357,48.0,1255,378.0,128,180,0.13445378151260504,385
02M408,Professional Performing Arts High School,2,Manhattan,338,86.0,1255,378.0,128,180,0.25443786982248523,328
02M408,Professional Performing Arts High School,2,Queens,188,54.0,1255,378.0,128,180,0.2872340425531915,333
02M408,Professional Performing Arts High School,2,Staten Island,12,12.0,1255,378.0,128,180,1.0,1
02M408,Professional Performing Arts High School,2,Unknown,22,2.0,1255,378.0,128,180,0.09090909090909091,228
02M411,Baruch College Campus High School,2,Bronx,1315,537.0,6773,2753.0,118,188,0.40836501901140687,215
02M411,Baruch College Campus High School,2,Brooklyn,1554,549.0,6773,2753.0,118,188,0.3532818532818533,246
02M411,Baruch College Campus High School,2,Manhattan,2493,1083.0,6773,2753.0,118,188,0.43441636582430804,280
02M411,Baruch College Campus High School,2,Queens,1211,449.0,6773,2753.0,118,188,0.3707679603633361,292
02M411,Baruch College Campus High School,2,Staten Island,27,10.0,6773,2753.0,118,188,0.37037037037037035,173
02M411,Baruch College Campus High School,2,Unknown,127,62.0,6773,2753.0,118,188,0.4881889763779528,80
02M412,N.Y.C. Lab School for Collaborative Studies,2,Bronx,348,72.0,3134,1067.0,109,161,0.20689655172413793,273
02M412,N.Y.C. Lab School for Collaborative Studies,2,Brooklyn,726,173.0,3134,1067.0,109,161,0.23829201101928374,307
02M412,N.Y.C. Lab School for Collaborative Studies,2,Manhattan,1704,617.0,3134,1067.0,109,161,0.36208920187793425,293
02M412,N.Y.C. Lab School for Collaborative Studies,2,Queens,231,64.0,3134,1067.0,109,161,0.27705627705627706,335
